1,1
1,2
1,3
2,4
3,5
3,6
4,7
4,8
4,9
4,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
6,18
7,19
7,20
8,21
8,22
9,23
9,24
9,25
9,26
9,27
10,28
10,29
11,30
12,31
12,32
12,33
13,34
13,35
13,36
14,37
14,38
15,39
15,40
16,41
16,42
17,43
17,44
17,45
17,46
17,47
17,48
17,49
18,50
18,51
19,52
19,53
20,54
20,55
21,56
22,57
22,58
23,59
23,60
23,61
24,62
24,63
25,64
25,65
25,66
25,67
25,68
26,69
26,70
26,71
26,72
27,73
27,74
27,75
28,76
28,77
28,78
28,79
29,80
30,81
30,82
31,83
31,84
32,85
32,86
32,87
33,88
34,89
34,90
34,91
34,92
34,93
34,94
34,95
35,96
35,97
35,98
36,99
36,100
36,101
36,102
36,103
36,104
36,105
37,106
37,107
38,108
38,109
38,110
38,111
38,112
38,113
39,114
39,115
40,116
41,117
41,118
42,119
42,120
42,121
42,122
43,123
44,124
44,125
44,126
44,127
45,128
45,129
46,130
46,131
46,132
47,133
47,134
47,135
47,136
47,137
47,138
47,139
47,140
48,141
48,142
49,143
49,144
49,145
49,146
50,147
50,148
51,149
51,150
51,151
52,152
52,153
52,154
52,155
