118,Чэнь Му Чи,1997-03-04,м,actor
119,Цао Цзе,1996-05-22,м,actor
120,Ху Жань,1980-01-15,ж,actor
121,Цзян Сяо Линь,1991-10-25,-,actor
122,Тан Го Чжун,,-,actor
123,Ван Ли На,1999-03-23,ж,actor
124,Фу Хун Шэн,,м,actor
125,Дай Я Ци,1998-05-29,ж,actor
126,Чжоу Чжань,1997-07-06,м,actor
127,Цао Бо,,м,actor
128,Цинь Тянь Юй,1993-07-10,м,actor
129,Лу Цзюнь Яо,1990-11-01,ж,actor
130,Ким Ён Кван,1987-01-11,м,actor
131,Ли Сон Гён,1990-08-10,ж,actor
132,Чан  Сон Бом,1995-07-18,м,actor
133,Нам Ки Э,1961-09-13,-,actor
134,Чжин Со Ён,1991-06-02,-,actor
135,Ким Йе Вон,1987-12-11,-,actor
136,Ким Хи Чон,1970-12-04,-,actor
137,Юн Бок Ин,1970-12-16,-,actor
138,Сон Дон Хва,1990-07-30,м,actor
139,Чхве Да Ин,2004-11-20,-,actor
140,Ким Ми Хва,1974-07-29,-,actor
141,Ким Сон Рён,1991-09-03,-,actor
142,Ли Джун Хёк,1972-03-19,м,actor
143,Ли Сон Ёль,1991-08-27,м,actor
144,Со У Сын,,м,actor
145,Пак Джин А,,ж,actor
146,Со Дон Вон,1979-04-04,-,actor
147,Хани,1992-04-30,ж,actor
148,Ким Джу А,1967-07-22,ж,actor
149,Со И Со,1995-05-10,м,actor
150,Чон Сок Хо,1984-05-02,-,actor
151,Ли Ха Ён,1993-08-03,ж,actor
152,Чхве Чон У,1957-02-17,-,actor
153,Ён Джэ Хён,1995-10-22,-,actor
154,Син Мин Су,1986-12-07,-,actor
155,Сон Джун,1990-07-10,-,actor
156,Но Сон Ын,1991-10-21,м,actor
157,Син Мун Сон,1973-12-02,-,actor
158,Ан Нэ Сан,1964-12-25,-,actor
159,Чха Ын У,1997-03-30,м,actor
160,Ли Да Хи,1985-03-15,ж,actor
161,Ким Нам Гиль,1981-03-13,м,actor
162,О Кван Рок,1962-08-28,-,actor
163,Кан Хён Джун,1972-08-15,-,actor
164,Ким Мин Джун,2010-11-09,м,actor
165,Син Дон Рёк,,-,actor
